"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2020-03-23 00:00:00.000,202000007287,"004685",1.2468,1.2468,-2.227102,-2.227102,1.000000,1.000000,1.246800,-2.227102,-2.231202,153442929,1,2020-03-23 22:06:43.000,2020-03-23 20:53:33.000,38841241
2020-05-11 00:00:00.000,202000007287,"004685",1.3064,1.3064,-0.442006,-0.442006,1.000000,1.000000,1.306400,-0.442006,-0.446106,154157194,1,2020-05-11 22:05:28.000,2020-05-11 20:51:52.000,39422829
2020-06-22 00:00:00.000,202000007287,"004685",1.4015,1.4015,-0.270405,-0.270405,1.000000,1.000000,1.401500,-0.270405,-0.274505,155054114,1,2020-06-22 22:06:03.000,2020-06-22 20:51:52.000,39926956
2020-08-07 00:00:00.000,202000007287,"004685",1.6681,1.6681,-0.955943,-0.955943,1.000000,1.000000,1.668100,-0.955943,-0.960043,156389567,1,2020-08-07 22:06:58.000,2020-08-07 20:52:02.000,40352599
2020-09-24 00:00:00.000,202000007287,"004685",1.7716,1.7716,-1.812337,-1.812337,1.000000,1.000000,1.771600,-1.812337,-1.816437,156924720,1,2020-09-24 22:05:48.000,2020-09-24 20:52:17.000,40810028
2020-11-13 00:00:00.000,202000007287,"004685",1.8376,1.8376,0.130776,0.130776,1.000000,1.000000,1.837600,0.130776,0.126676,157612201,1,2020-11-13 22:14:51.000,2020-11-13 20:51:19.000,41384244
2021-03-24 00:00:00.000,202000007287,"004685",1.8963,1.8963,0.000000,0.000000,1.000000,1.000000,1.896300,0.000000,-0.004100,178922325,1,2021-03-24 23:12:39.000,2021-03-24 21:52:05.000,45072039
2021-05-12 00:00:00.000,202000007287,"004685",2.0210,2.0210,0.702576,0.702576,1.000000,1.000000,2.021000,0.702576,0.698476,179456189,1,2021-05-12 22:14:46.000,2021-05-12 20:52:21.000,45557464
2021-07-08 00:00:00.000,202000007287,"004685",2.0644,2.0644,-0.491661,-0.491661,1.000000,1.000000,2.064400,-0.491661,-0.495761,196721469,1,2021-07-08 22:12:12.000,2021-07-08 20:52:32.000,46184714
2021-09-03 00:00:00.000,202000007287,"004685",2.2734,2.2734,0.968200,0.968200,1.000000,1.000000,2.273400,0.968200,0.964100,198553908,1,2021-09-03 22:17:05.000,2021-09-03 20:51:29.000,47710527
2021-11-29 00:00:00.000,202000007287,"004685",2.3129,2.3129,-0.861552,-0.861552,1.000000,1.000000,2.312900,-0.861552,-0.865652,200065405,1,2021-11-29 21:20:24.000,2021-11-29 19:51:58.000,49909729
2022-01-28 00:00:00.000,202000007287,"004685",2.5620,2.5620,2.324467,2.324467,1.000000,1.000000,2.562000,2.324467,2.320367,259177140,1,2022-01-28 22:27:13.000,2022-01-28 20:51:49.000,51560930
2022-03-08 00:00:00.000,202000007287,"004685",2.7149,2.7149,-2.042215,-2.042215,1.000000,1.000000,2.714900,-2.042215,-2.046315,261666277,1,2022-03-08 23:16:13.000,2022-03-08 21:48:59.000,52048567
2022-05-11 00:00:00.000,202000007287,"004685",2.7011,2.7011,-0.339446,-0.339446,1.000000,1.000000,2.701100,-0.339446,-0.343546,265665269,1,2022-05-11 22:18:32.000,2022-05-11 20:48:47.000,53020414
2022-07-25 00:00:00.000,202000007287,"004685",3.2548,3.2548,-0.232957,-0.232957,1.000000,1.000000,3.254800,-0.232957,-0.237057,268265359,1,2022-07-25 22:22:47.000,2022-07-25 20:48:26.000,54187999
2022-08-19 00:00:00.000,202000007287,"004685",3.3909,3.3909,-0.108997,-0.108997,1.000000,1.000000,3.390900,-0.108997,-0.113097,269659334,1,2022-08-19 23:16:30.000,2022-08-19 21:48:27.000,54662838
2017-11-28 00:00:00.000,202000007287,"004685",1.0178,1.0178,0.098348,0.098348,1.000000,1.000000,1.017800,0.098348,0.094248,35225140,1,2017-11-29 15:36:39.000,2017-11-28 20:51:29.000,15369196
2018-02-05 00:00:00.000,202000007287,"004685",1.0223,1.0223,-0.048885,-0.048885,1.000000,1.000000,1.022300,-0.048885,-0.052985,41427476,1,2018-02-06 07:52:01.000,2018-02-05 20:51:26.000,16743774
2018-04-12 00:00:00.000,202000007287,"004685",1.0385,1.0385,0.019262,0.019262,1.000000,1.000000,1.038500,0.019262,0.015162,43606410,1,2018-04-13 00:47:43.000,2018-04-12 20:50:39.000,17679561
2018-08-02 00:00:00.000,202000007287,"004685",1.0630,1.0630,-0.281426,-0.281426,1.000000,1.000000,1.063000,-0.281426,-0.285526,47065502,1,2018-08-03 08:53:52.000,2018-08-02 21:51:14.000,19160117
2018-08-03 00:00:00.000,202000007287,"004685",1.0617,1.0617,-0.122295,-0.122295,1.000000,1.000000,1.061700,-0.122295,-0.126395,47070148,1,2018-08-04 08:43:09.000,2018-08-03 20:51:38.000,19171764
2018-10-16 00:00:00.000,202000007287,"004685",1.0571,1.0571,-0.066175,-0.066175,1.000000,1.000000,1.057100,-0.066175,-0.070275,56716176,1,2018-10-17 09:08:04.000,2018-10-16 20:50:43.000,20196971
2018-12-14 00:00:00.000,202000007287,"004685",1.0846,1.0846,-0.027652,-0.027652,1.000000,1.000000,1.084600,-0.027652,-0.031752,66939578,1,2018-12-15 02:20:02.000,2018-12-14 20:50:54.000,21259424
2018-12-17 00:00:00.000,202000007287,"004685",1.0842,1.0842,-0.036880,-0.036880,1.000000,1.000000,1.084200,-0.036880,-0.040980,66964865,1,2018-12-18 02:09:41.000,2018-12-17 19:50:27.000,21276994
2019-03-28 00:00:00.000,202000007287,"004685",1.0967,1.0967,0.027362,0.027362,1.000000,1.000000,1.096700,0.027362,0.023262,70693333,1,2019-03-29 02:39:34.000,2019-03-28 20:50:54.000,23247795
2019-07-03 00:00:00.000,202000007287,"004685",1.1465,1.1465,-0.269659,-0.269659,1.000000,1.000000,1.146500,-0.269659,-0.273759,137239797,1,2019-07-04 01:59:41.000,2019-07-03 20:50:02.000,26587489
2019-08-22 00:00:00.000,202000007287,"004685",1.1249,1.1249,0.267404,0.267404,1.000000,1.000000,1.124900,0.267404,0.263304,138431724,1,2019-08-22 21:37:51.000,2019-08-22 19:50:23.000,27975002
2019-10-16 00:00:00.000,202000007287,"004685",1.1625,1.1625,-0.470890,-0.470890,1.000000,1.000000,1.162500,-0.470890,-0.474990,146327206,1,2019-10-17 19:04:36.000,2019-10-16 20:53:51.000,29625090
2019-12-02 00:00:00.000,202000007287,"004685",1.1475,1.1475,0.297177,0.297177,1.000000,1.000000,1.147500,0.297177,0.293077,147677473,1,2019-12-03 19:06:46.000,2019-12-02 20:53:46.000,30906347
2020-01-21 00:00:00.000,202000007287,"004685",1.2614,1.2614,-0.802139,-0.802139,1.000000,1.000000,1.261400,-0.802139,-0.806239,150934616,1,2020-01-21 22:05:37.000,2020-01-21 20:52:19.000,36746715
2020-03-27 00:00:00.000,202000007287,"004685",1.2862,1.2862,-0.418086,-0.418086,1.000000,1.000000,1.286200,-0.418086,-0.422186,153744514,1,2020-03-27 22:06:56.000,2020-03-27 20:52:43.000,39127891
